"Digit",,"Allocated to"
"201","ALB","Albania (Republic of)"
"202","AND","Andorra (Principality of)"
"203","AUT","Austria"
"204","PRT-AZO","Portugal - Azores"
"205","BEL","Belgium"
"206","BLR","Belarus (Republic of)"
"207","BGR","Bulgaria (Republic of)"
"208","VAT","Vatican City State"
"209","CYP","Cyprus (Republic of)"
"210","CYP","Cyprus (Republic of)"
"211","GER","Germany (Federal Republic of)"
"212","CYP","Cyprus (Republic of)"
"213","GEO","Georgia"
"214","MDA","Moldova (Republic of)"
"215","MLT","Malta"
"216","ARM","Armenia (Republic of)"
"218","GER","Germany (Federal Republic of)"
"219","DNK","Denmark"
"220","DNK","Denmark"
"224","ESP","Spain"
"225","ESP","Spain"
"226","FRA","France"
"227","FRA","France"
"228","FRA","France"
"229","MLT","Malta"
"230","FIN","Finland"
"231","DNK-FAE","Denmark - Faroe Islands"
"232","GBR","United Kingdom of Great Britain and Northern Ireland"
"233","GBR","United Kingdom of Great Britain and Northern Ireland"
"234","GBR","United Kingdom of Great Britain and Northern Ireland"
"235","GBR","United Kingdom of Great Britain and Northern Ireland"
"236","GBR-GIB","United Kingdom of Great Britain and Northern Ireland - Gibraltar"
"237","GRC","Greece"
"238","HRV","Croatia (Republic of)"
"239","GRC","Greece"
"240","GRC","Greece"
"241","GRC","Greece"
"242","MAR","Morocco (Kingdom of)"
"243","HUN","Hungary"
"244","NLD","Netherlands (Kingdom of the)"
"245","NLD","Netherlands (Kingdom of the)"
"246","NLD","Netherlands (Kingdom of the)"
"247","ITA","Italy"
"248","MLT","Malta"
"249","MLT","Malta"
"250","IRL","Ireland"
"251","ISL","Iceland"
"252","LIE","Liechtenstein (Principality of)"
"253","LUX","Luxembourg"
"254","MCO","Monaco (Principality of)"
"255","PRT-MAD","Portugal - Madeira"
"256","MLT","Malta"
"257","NOR","Norway"
"258","NOR","Norway"
"259","NOR","Norway"
"261","POL","Poland (Republic of)"
"262","MNE","Montenegro"
"263","PRT","Portugal"
"264","ROU","Romania"
"265","SWE","Sweden"
"266","SWE","Sweden"
"267","SVK","Slovak Republic"
"268","SMR","San Marino (Republic of)"
"269","CHE","Switzerland (Confederation of)"
"270","CZE","Czech Republic"
"271","TUR","Republic of Türkiye"
"272","UKR","Ukraine"
"273","RUS","Russian Federation"
"274","MKD","North Macedonia (Republic of)"
"275","LVA","Latvia (Republic of)"
"276","EST","Estonia (Republic of)"
"277","LTU","Lithuania (Republic of)"
"278","SVN","Slovenia (Republic of)"
"279","SVK","Serbia (Republic of)"
"301","GBR-ANG","United Kingdom of Great Britain and Northern Ireland - Anguilla"
"303","USA-AK","United States of America - Alaska (State of)"
"304","ATG","Antigua and Barbuda"
"305","ATG","Antigua and Barbuda"
"306","NLD-STE","Netherlands (Kingdom of the) - Bonaire, Sint Eustatius and Saba"
"306","NLD-CCO","Netherlands (Kingdom of the) - Curaçao"
"306","NLD-SMA","Netherlands (Kingdom of the) - Sint Maarten (Dutch part)"
"307","NLD-ARB","Netherlands (Kingdom of the) - Aruba"
"308","BHS","Bahamas (Commonwealth of the)"
"309","BHS","Bahamas (Commonwealth of the)"
"310","GBR-BER","United Kingdom of Great Britain and Northern Ireland - Bermuda"
"311","BHS","Bahamas (Commonwealth of the)"
"312","BLZ","Belize"
"314","BRB","Barbados"
"316","CAN","Canada"
"319","GBR-CAY","United Kingdom of Great Britain and Northern Ireland - Cayman Islands"
"321","CRI","Costa Rica"
"323","CUB","Cuba"
"325","DMA","Dominica (Commonwealth of)"
"327","DOM","Dominican Republic"
"329","FRA-GUA","France - Guadeloupe (French Department of)"
"330","GRD","Grenada"
"331","DNK-GRL","Denmark - Greenland"
"332","GTM","Guatemala (Republic of)"
"334","HND","Honduras (Republic of)"
"336","HTI","Haiti (Republic of)"
"338","USA","United States of America"
"339","JAM","Jamaica"
"341","KNA","Saint Kitts and Nevis (Federation of)"
"343","LCA","Saint Lucia"
"345","MEX","Mexico"
"347","FRA-MAR","France - Martinique (French Department of)"
"348","GBR-MTS","United Kingdom of Great Britain and Northern Ireland - Montserrat"
"350","NIC","Nicaragua"
"351","PAN","Panama (Republic of)"
"352","PAN","Panama (Republic of)"
"353","PAN","Panama (Republic of)"
"354","PAN","Panama (Republic of)"
"355","PAN","Panama (Republic of)"
"356","PAN","Panama (Republic of)"
"357","PAN","Panama (Republic of)"
"358","USA-PR","United States of America - Puerto Rico"
"359","SLV","El Salvador (Republic of)"
"361","FRA-SPM","France - Saint Pierre and Miquelon (Territorial Collectivity of)"
"362","TTO","Trinidad and Tobago"
"364","GBR-TCI","United Kingdom of Great Britain and Northern Ireland - Turks and Caicos Islands"
"366","USA","United States of America"
"367","USA","United States of America"
"368","USA","United States of America"
"369","USA","United States of America"
"370","PAN","Panama (Republic of)"
"371","PAN","Panama (Republic of)"
"372","PAN","Panama (Republic of)"
"373","PAN","Panama (Republic of)"
"374","PAN","Panama (Republic of)"
"375","VCT","Saint Vincent and the Grenadines"
"376","VCT","Saint Vincent and the Grenadines"
"377","VCT","Saint Vincent and the Grenadines"
"378","GBR-BVI","United Kingdom of Great Britain and Northern Ireland - British Virgin Islands"
"379","USA-VI","United States of America - United States Virgin Islands"
"401","AFG","Afghanistan"
"403","SAU","Saudi Arabia (Kingdom of)"
"405","BGD","Bangladesh (People's Republic of)"
"408","BHR","Bahrain (Kingdom of)"
"410","BTN","Bhutan (Kingdom of)"
"412","CHN","China (People's Republic of)"
"413","CHN","China (People's Republic of)"
"414","CHN","China (People's Republic of)"
"416","TWN","China (People's Republic of) - Taiwan (Province of China)"
"417","LKA","Sri Lanka (Democratic Socialist Republic of)"
"419","IND","India (Republic of)"
"422","IRN","Iran (Islamic Republic of)"
"423","AZE","Azerbaijan (Republic of)"
"425","IRQ","Iraq (Republic of)"
"428","ISR","Israel (State of)"
"431","JPN","Japan"
"432","JPN","Japan"
"434","#N/A","Turkmenistan"
"436","#N/A","Kazakhstan (Republic of)"
"437","#N/A","Uzbekistan (Republic of)"
"438","#N/A","Jordan (Hashemite Kingdom of)"
"440","KOR","Korea (Republic of)"
"441","KOR","Korea (Republic of)"
"443","#N/A","State of Palestine (In accordance with Resolution 99 Rev. Dubai, 2018)"
"445","PRK","Democratic People's Republic of Korea"
"447","#N/A","Kuwait (State of)"
"450","#N/A","Lebanon"
"451","#N/A","Kyrgyz Republic"
"453","#N/A","China (People's Republic of) - Macao (Special Administrative Region of China)"
"455","#N/A","Maldives (Republic of)"
"457","#N/A","Mongolia"
"459","#N/A","Nepal (Federal Democratic Republic of)"
"461","#N/A","Oman (Sultanate of)"
"463","#N/A","Pakistan (Islamic Republic of)"
"466","#N/A","Qatar (State of)"
"468","#N/A","Syrian Arab Republic"
"470","ARE","United Arab Emirates"
"471","ARE","United Arab Emirates"
"472","#N/A","Tajikistan (Republic of)"
"473","#N/A","Yemen (Republic of)"
"475","#N/A","Yemen (Republic of)"
"477","#N/A","China (People's Republic of) - Hong Kong (Special Administrative Region of China)"
"478","#N/A","Bosnia and Herzegovina"
"501","#N/A","France - Adelie Land"
"503","#N/A","Australia"
"506","#N/A","Myanmar (Union of)"
"508","#N/A","Brunei Darussalam"
"510","#N/A","Micronesia (Federated States of)"
"511","#N/A","Palau (Republic of)"
"512","#N/A","New Zealand"
"514","#N/A","Cambodia (Kingdom of)"
"515","#N/A","Cambodia (Kingdom of)"
"516","#N/A","Australia - Christmas Island (Indian Ocean)"
"518","#N/A","New Zealand - Cook Islands"
"520","#N/A","Fiji (Republic of)"
"523","#N/A","Australia - Cocos (Keeling) Islands"
"525","#N/A","Indonesia (Republic of)"
"529","#N/A","Kiribati (Republic of)"
"531","#N/A","Lao People's Democratic Republic"
"533","#N/A","Malaysia"
